group,label,fiber,L_m,P_W,Nt,J_after,J_after_dB,converged,iterations,gauge_C,gauge_alpha,a2,a3,a4,a5,a6,omega_mean,omega_range,residual_fraction
sweep_hnlf,sweeps/hnlf/L1m_P0.005W,HNLF,1.0,0.005,8192,4.172193331826481e-8,-73.79635575365343,false,60,0.12898423213410928,-0.003288214968828938,6.693065775545515,-4.728054432250423,-43.74229876951342,8.177606258988115,35.76957870555011,8.401687753920104e-17,45.23893421169302,0.7344600056129311
sweep_hnlf,sweeps/hnlf/L1m_P0.01W,HNLF,1.0,0.01,8192,1.0485082771139156e-7,-69.79428136785943,true,47,-0.1729415673499317,0.003948666774197246,-3.6719055226719086,0.44757043081871706,18.767386851525767,1.9918732721842074,-14.197694017799249,8.401687753920104e-17,45.23893421169302,0.9080353853843204
sweep_hnlf,sweeps/hnlf/L1m_P0.03W,HNLF,1.0,0.03,8192,7.678824171293097e-6,-51.14705276715163,false,60,-0.01606178211426123,-0.014459264741199844,-10.664226505591474,2.268547845308397,26.644916902695716,-2.589370479373233,-15.843373716432254,8.401687753920104e-17,45.23893421169302,0.7893441582187457
sweep_hnlf,sweeps/hnlf/L2m_P0.005W,HNLF,2.0,0.005,8192,3.7915526755356287e-7,-64.21182906040193,false,60,-14.029472855899392,-2.237737088147077,-1347.4397102603623,478.13156385650103,2285.462130148841,-252.17306500803127,-891.1812341390987,8.401687753920104e-17,45.23893421169302,0.9270306408001613
sweep_hnlf,sweeps/hnlf/L2m_P0.01W,HNLF,2.0,0.01,8192,4.6365171832358425e-6,-53.33808126354285,true,12,-2.4015450803655884,-3.4619629230575804,-81.49252801415936,-147.22342909005397,-136.78197344894744,452.2047724589769,199.4470221853169,8.401687753920104e-17,45.23893421169302,0.9334079837261323
sweep_hnlf,sweeps/hnlf/L2m_P0.03W,HNLF,2.0,0.03,8192,6.772451516947669e-6,-51.692540953383464,true,21,20.201943623122474,-6.949611514218279,423.7455897487574,-427.1642413564821,-304.4328488085344,887.1141074304404,-192.1871495033893,-0.24166097335306125,45.91558493708159,0.8932985269682014
sweep_hnlf,sweeps/hnlf/L5m_P0.005W,HNLF,5.0,0.005,8192,3.120149355716616e-7,-65.05824616619034,false,60,-0.2904296000790923,0.0013310231625367377,7.850047802974886,-3.8775837811640583,-131.2898633330907,6.232973616275971,131.98799423756648,6.611440483722842e-17,46.0766922526503,0.8001426320383369
sweep_hnlf,sweeps/hnlf/L5m_P0.01W,HNLF,5.0,0.01,8192,2.9471247306827297e-7,-65.30601483186075,false,60,0.029053148788897164,-0.03797841102887546,-9.03414120285964,1.0650654221769205,26.73015355111125,1.3759545252529977,-18.808815715648628,-1.3717938943012405e-16,45.9155849370816,0.9477997360983974
sweep_hnlf,sweeps/hnlf/L5m_P0.03W,HNLF,5.0,0.03,8192,4.801221149487948e-6,-53.18648289492131,false,60,0.6105974578914358,-0.5767680821989718,-72.81914190694424,71.8621211047376,246.31086059697958,-39.09453191060472,-175.7329522063797,1.7645472316329094e-16,46.0766922526503,0.9601017262469174
multistart,sweeps/multistart/start_01,SMF-28,2.0,0.2,8192,8.824093394820636e-7,-60.5432990394042,true,18,-0.33386167548194223,-0.030575041815749902,-24.715225828465755,10.615215899501392,51.802119034032515,-7.050136899583434,-25.83330053902711,0.07853981633974476,46.024332375090474,0.9463693312048786
multistart,sweeps/multistart/start_02,SMF-28,2.0,0.2,8192,8.351565994743245e-7,-60.78232082706943,true,17,-0.026837984384826655,0.0024772881838168565,-1.6742673780244803,1.0029910798955841,3.5818136134258536,-0.9887654401022652,-1.8414886454334543,0.07853981633974476,46.024332375090474,0.9709925351504839
multistart,sweeps/multistart/start_03,SMF-28,2.0,0.2,8192,3.29568731932624e-6,-54.82053999017657,true,16,-0.038805444309656066,0.008308464705998685,-1.2982380449239495,1.404015119807735,2.5442597556343327,-1.555573767402499,-1.2604711863888944,0.07853981633974476,46.024332375090474,0.9729639115918913
multistart,sweeps/multistart/start_04,SMF-28,2.0,0.2,8192,4.311790791324004e-7,-63.65342319337492,true,24,-0.02626754786564654,-0.004816348028195573,-2.4098054589614577,0.9200400529053678,5.34119281617758,-0.5864933871666482,-2.9143539067393736,0.07853981633974476,46.024332375090474,0.9735857931670404
multistart,sweeps/multistart/start_05,SMF-28,2.0,0.2,8192,4.913498011161952e-7,-63.08609215401428,true,19,-0.04663080273199934,0.0018829599268584604,-3.1461527527232502,-1.8414656095147695,12.841857642900381,2.2781760355288294,-10.580687676384935,0.07853981633974476,46.024332375090474,0.9288721637667366
multistart,sweeps/multistart/start_06,SMF-28,2.0,0.2,8192,4.2824899151436423e-7,-63.68303651083438,true,16,-0.010833070781820458,-0.0020132265334959266,-0.8176919494106768,0.19425275898630537,2.9466853826489086,-0.15376525186227882,-2.13363982162632,0.07853981633974476,46.024332375090474,0.9958662504087954
multistart,sweeps/multistart/start_07,SMF-28,2.0,0.2,8192,3.009037152432913e-7,-65.21572450014325,true,22,0.05291854016969844,0.004994921290273173,0.8476012349803416,1.448250646008424,-3.7119327075386113,-1.7657850731494338,3.154269265553936,0.07853981633974476,46.024332375090474,0.9912362231755923
multistart,sweeps/multistart/start_08,SMF-28,2.0,0.2,8192,3.669738972193572e-7,-64.35364825929818,true,19,0.08503690818604132,-0.001596018991032605,-0.6090373629455441,0.9772078006106324,1.1299036443063695,-1.1974642915988631,-0.48044065197870073,0.07853981633974476,46.024332375090474,0.9943094820703215
multistart,sweeps/multistart/start_09,SMF-28,2.0,0.2,8192,5.762834943476909e-7,-62.39363819107474,true,17,-0.07098336436574068,0.006834459120902686,-2.2722102393989725,0.7907989187156569,6.422354544671099,-1.0347757544385168,-4.141718422081218,0.07853981633974476,46.024332375090474,0.9813449312651357
multistart,sweeps/multistart/start_10,SMF-28,2.0,0.2,8192,4.085980094372192e-7,-63.887037534464426,true,18,-0.10598505786250949,0.007172311641208349,-1.1055049038465719,-0.37950013229767704,4.416181845976822,0.7959229967657196,-3.4373513712480723,0.07853981633974476,46.024332375090474,0.9882391927529354
